X,Y,Z
-74.3233,198.421,-8.08397
-71.1566,198.421,-22.8747
-65.0812,198.421,-36.7236
-56.3461,198.421,-49.0654
-45.3088,198.421,-59.3968
-32.4204,198.421,-67.2964
-18.2074,198.421,-72.442
-3.25024,198.421,-74.6238
11.8402,198.421,-73.7526
26.4478,198.421,-69.864
39.976,198.421,-63.1163
51.872,198.421,-53.7844
61.6496,198.421,-42.2489
68.9088,198.421,-28.98
73.3522,198.421,-14.5189
74.7969,198.421,0.544297
73.1823,198.421,15.5949
68.5724,198.421,30.0182
61.1535,198.421,43.2249
51.2263,198.421,54.6747
39.1942,198.421,63.8986
25.5454,198.421,70.5155
10.8278,198.421,74.2143
-4.33302,198.421,74.8747
-19.3082,198.421,72.4468
-33.476,198.421,67.0431
-46.2621,198.421,58.9048
-57.1459,198.421,48.3661
-65.6847,183.158,35.8589
-71.532,183.158,21.895
-74.4506,183.158,7.04517
-74.3233,183.158,-8.08397
-71.1566,183.158,-22.8747
-65.0812,183.158,-36.7236
-56.3461,183.158,-49.0654
-45.3088,183.158,-59.3968
-32.4204,183.158,-67.2964
-18.2074,183.158,-72.442
-3.25024,183.158,-74.6238
11.8402,183.158,-73.7526
26.4478,183.158,-69.864
39.976,183.158,-63.1163
51.872,183.158,-53.7844
61.6496,183.158,-42.2489
68.9088,183.158,-28.98
73.3522,183.158,-14.5189
74.7969,183.158,0.544297
73.1823,183.158,15.5949
68.5724,183.158,30.0182
61.1535,183.158,43.2249
51.2263,183.158,54.6747
39.1942,183.158,63.8986
25.5454,183.158,70.5155
10.8278,183.158,74.2143
-4.33302,183.158,74.8747
-19.3082,183.158,72.4468
-33.476,183.158,67.0431
-46.2621,183.158,58.9048
-57.1459,183.158,48.3661
-65.6847,167.895,35.8589
-71.532,167.895,21.895
-74.4506,167.895,7.04517
-74.3233,167.895,-8.08397
-71.1566,167.895,-22.8747
-65.0812,167.895,-36.7236
-56.3461,167.895,-49.0654
-45.3088,167.895,-59.3968
-32.4204,167.895,-67.2964
-18.2074,167.895,-72.442
-3.25024,167.895,-74.6238
11.8402,167.895,-73.7526
26.4478,167.895,-69.864
39.976,167.895,-63.1163
51.872,167.895,-53.7844
61.6496,167.895,-42.2489
68.9088,167.895,-28.98
73.3522,167.895,-14.5189
74.7969,167.895,0.544297
73.1823,167.895,15.5949
68.5724,167.895,30.0182
61.1535,167.895,43.2249
51.2263,167.895,54.6747
39.1942,167.895,63.8986
25.5454,167.895,70.5155
10.8278,167.895,74.2143
-4.33302,167.895,74.8747
-19.3082,167.895,72.4468
-33.476,167.895,67.0431
-46.2621,167.895,58.9048
-57.1459,167.895,48.3661
-65.6847,152.632,35.8589
-71.532,152.632,21.895
-74.4506,152.632,7.04517
-74.3233,152.632,-8.08397
-71.1566,152.632,-22.8747
-65.0812,152.632,-36.7236
-56.3461,152.632,-49.0654
-45.3088,152.632,-59.3968
-32.4204,152.632,-67.2964
-18.2074,152.632,-72.442
-3.25024,152.632,-74.6238
11.8402,152.632,-73.7526
26.4478,152.632,-69.864
39.976,152.632,-63.1163
51.872,152.632,-53.7844
61.6496,152.632,-42.2489
68.9088,152.632,-28.98
73.3522,152.632,-14.5189
74.7969,152.632,0.544297
73.1823,152.632,15.5949
68.5724,152.632,30.0182
61.1535,152.632,43.2249
51.2263,152.632,54.6747
39.1942,152.632,63.8986
25.5454,152.632,70.5155
10.8278,152.632,74.2143
-4.33302,152.632,74.8747
-19.3082,152.632,72.4468
-33.476,152.632,67.0431
-46.2621,152.632,58.9048
-57.1459,152.632,48.3661
-65.6847,137.368,35.8589
-71.532,137.368,21.895
-74.4506,137.368,7.04517
-74.3233,137.368,-8.08397
-71.1566,137.368,-22.8747
-65.0812,137.368,-36.7236
-56.3461,137.368,-49.0654
-45.3088,137.368,-59.3968
-32.4204,137.368,-67.2964
-18.2074,137.368,-72.442
-3.25024,137.368,-74.6238
11.8402,137.368,-73.7526
26.4478,137.368,-69.864
39.976,137.368,-63.1163
51.872,137.368,-53.7844
61.6496,137.368,-42.2489
68.9088,137.368,-28.98
73.3522,137.368,-14.5189
74.7969,137.368,0.544297
73.1823,137.368,15.5949
68.5724,137.368,30.0182
61.1535,137.368,43.2249
51.2263,137.368,54.6747
39.1942,137.368,63.8986
25.5454,137.368,70.5155
10.8278,137.368,74.2143
-4.33302,137.368,74.8747
-19.3082,137.368,72.4468
-33.476,137.368,67.0431
-46.2621,137.368,58.9048
-57.1459,137.368,48.3661
-65.6847,122.105,35.8589
-71.532,122.105,21.895
-74.4506,122.105,7.04517
-74.3233,122.105,-8.08397
-71.1566,122.105,-22.8747
-65.0812,122.105,-36.7236
-56.3461,122.105,-49.0654
-45.3088,122.105,-59.3968
-32.4204,122.105,-67.2964
-18.2074,122.105,-72.442
-3.25024,122.105,-74.6238
11.8402,122.105,-73.7526
26.4478,122.105,-69.864
39.976,122.105,-63.1163
51.872,122.105,-53.7844
61.6496,122.105,-42.2489
68.9088,122.105,-28.98
73.3522,122.105,-14.5189
74.7969,122.105,0.544297
73.1823,122.105,15.5949
68.5724,122.105,30.0182
61.1535,122.105,43.2249
51.2263,122.105,54.6747
39.1942,122.105,63.8986
25.5454,122.105,70.5155
10.8278,122.105,74.2143
-4.33302,122.105,74.8747
-19.3082,122.105,72.4468
-33.476,122.105,67.0431
-46.2621,122.105,58.9048
-57.1459,122.105,48.3661
-65.6847,106.842,35.8589
-71.532,106.842,21.895
-74.4506,106.842,7.04517
-74.3233,106.842,-8.08397
-71.1566,106.842,-22.8747
-65.0812,106.842,-36.7236
-56.3461,106.842,-49.0654
-45.3088,106.842,-59.3968
-32.4204,106.842,-67.2964
-18.2074,106.842,-72.442
-3.25024,106.842,-74.6238
11.8402,106.842,-73.7526
26.4478,106.842,-69.864
39.976,106.842,-63.1163
51.872,106.842,-53.7844
61.6496,106.842,-42.2489
68.9088,106.842,-28.98
73.3522,106.842,-14.5189
74.7969,106.842,0.544297
73.1823,106.842,15.5949
68.5724,106.842,30.0182
61.1535,106.842,43.2249
51.2263,106.842,54.6747
39.1942,106.842,63.8986
25.5454,106.842,70.5155
10.8278,106.842,74.2143
-4.33302,106.842,74.8747
-19.3082,106.842,72.4468
-33.476,106.842,67.0431
-46.2621,106.842,58.9048
-57.1459,106.842,48.3661
-65.6847,91.5789,35.8589
-71.532,91.5789,21.895
-74.4506,91.5789,7.04517
-74.3233,91.5789,-8.08397
-71.1566,91.5789,-22.8747
-65.0812,91.5789,-36.7236
-56.3461,91.5789,-49.0654
-45.3088,91.5789,-59.3968
-32.4204,91.5789,-67.2964
-18.2074,91.5789,-72.442
-3.25024,91.5789,-74.6238
11.8402,91.5789,-73.7526
26.4478,91.5789,-69.864
39.976,91.5789,-63.1163
51.872,91.5789,-53.7844
61.6496,91.5789,-42.2489
68.9088,91.5789,-28.98
73.3522,91.5789,-14.5189
74.7969,91.5789,0.544297
73.1823,91.5789,15.5949
68.5724,91.5789,30.0182
61.1535,91.5789,43.2249
51.2263,91.5789,54.6747
39.1942,91.5789,63.8986
25.5454,91.5789,70.5155
10.8278,91.5789,74.2143
-4.33302,91.5789,74.8747
-19.3082,91.5789,72.4468
-33.476,91.5789,67.0431
-46.2621,91.5789,58.9048
-57.1459,91.5789,48.3661
-65.6847,76.3158,35.8589
-71.532,76.3158,21.895
-74.4506,76.3158,7.04517
-74.3233,76.3158,-8.08397
-71.1566,76.3158,-22.8747
-65.0812,76.3158,-36.7236
-56.3461,76.3158,-49.0654
-45.3088,76.3158,-59.3968
-32.4204,76.3158,-67.2964
-18.2074,76.3158,-72.442
-3.25024,76.3158,-74.6238
11.8402,76.3158,-73.7526
26.4478,76.3158,-69.864
39.976,76.3158,-63.1163
51.872,76.3158,-53.7844
61.6496,76.3158,-42.2489
68.9088,76.3158,-28.98
73.3522,76.3158,-14.5189
74.7969,76.3158,0.544297
73.1823,76.3158,15.5949
68.5724,76.3158,30.0182
